Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
SALIC,"27,000,000,000",Direct,"Perfect - Saudi sovereign, food security mandate",Direct,Highest Priority,"1,000,000,000","100,000,000",Very High - Strategic Saudi partner,95,,https://linkedin.com/in/sulaiman-alrumaih-3922266,Sulaiman Al-Rumaih,Chief Executive Officer,Yes,mailto:info@salic.com,,"November 3, 2025",GCC/MENA,"Global, KSA, GCC",Saudi Arabia,https://salic.com/about-us,Strategic/Sovereign,"Strategic acquisitions & JVs - Focuses on acquiring significant stakes in established companies (Olam Agri 35%, NAQUA 42%, Minerva Foods 35%). Will consider greenfield JVs with proven partners. Open to new SPVs if structured as strategic partnership.","Agriculture, Aquaculture, Food Security",,Sovereign Wealth Fund,"October 27, 2025",No,IMMEDIATE - Leverage NAQUA connection,Strategic GCC investor - highest priority for Saudi RAS project,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B3539786%255D&_l=fr&trk=org-employees_cta_face-pile-cta,,+966 11 400 1144,"NAQUA (42.4%), Olam Agri (35.4%), Minerva Foods (35%)",,"NAQUA (42%), active in aquaculture",100,Global,"https://salic.com, LinkedIn, Bloomberg","PIF subsidiary, HQ in Riyadh",No,Yes,,Mohammed Almousa,Group CEO Advisor,Strategic Target,Growth/Buyout,To Be Contacted,Full Value Chain,Agri/Aquaculture,High - 42% stake in NAQUA,$50M+,,"Processing, Cold Chain, Logistics, Feed",http://www.salic.com/English/Pages/default.aspx
PIF,"925,000,000,000",Direct,Perfect - Vision 2030 architect,Indirect,Highest Priority,"10,000,000,000","500,000,000",Very High - Strategic exit path,95,,https://linkedin.com/in/yasir-al-rumayyan,Yasir Al-Rumayyan,Governor,Yes,mailto:info@pif.gov.sa,,"November 3, 2025",GCC/MENA,"Global, KSA, GCC",Saudi Arabia,,Sovereign Wealth Fund,"Greenfield giga-projects & strategic platforms - Actively invests in new large-scale developments (NEOM, Red Sea Global, Project Paradise $100B). Creates new SPVs for Vision 2030 flagship projects. Invests through subsidiaries like SALIC for sectoral plays.","Agriculture, Aquaculture, Food Security",,Sovereign Wealth Fund,"October 27, 2025",No,Position as Vision 2030 flagship project,Strategic GCC investor - highest priority for Saudi RAS project,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B10163360%255D&trk=org-employees_cta_face-pile-cta,,+966 11 400 1144,"SALIC (100%), NEOM, Red Sea Global",,NEOM developments,99,Global,,Saudi sovereign wealth fund,No,Yes,,,,Strategic Target,Growth/Large-scale,To Be Contacted,,Diversified,Growing - Building capabilities,$100M+,,Strategic investments via SALIC,https://www.pif.gov.sa/
Aqua-Spark,"500,000,000",,High - Pure-play aquaculture investor,Direct,High Priority,"15,000,000","2,000,000",High - Regularly leads/co-invests,95,,https://linkedin.com/in/amy-novogratz-1184b12,Amy Novogratz,Co-Founder & Managing Partner,Yes,mailto:info@aqua-spark.nl,Blue Food Innovation Summit London,"October 30, 2025",Global,Global,Netherlands,https://aqua-spark.nl,Venture Capital,Early-stage & new ventures - Pure venture capital model investing in 70+ startups and new companies. Backs entrepreneurs building new aquaculture businesses from scratch. Ideal for new SPVs and greenfield projects. Series A-B focus with $1-10M tickets.,"Aquaculture, Blue Food Systems",,Venture Capital,"October 27, 2025",No,Priority meeting - technical expertise + capital,Leading aquaculture VC actively deploying capital,https://linkedin.com/company/aquaspark,,+31 30 820 0369,"eFishery (unicorn), Hofseth BioCare, XpertSea",,Extensive - 70+ aquaculture investments,98,Global,,,No,Open to explore,https://linkedin.com/in/mikevenings,Mike Velings,Co-Founder & Managing Partner,Blue Food Innovation Summit,Series A-B,Initial Contact Made,"RAS, Feed, Genetics",Aquaculture,Very High - RAS specialists,$1-10M,,"Hatchery, Grow-out, Feed, Genetics, Processing",https://aqua-spark.nl/
ADQ,"235,000,000,000",Direct,High - UAE food security focus,Indirect,Highest Priority,"5,000,000,000","100,000,000",High - Regional expansion strategy,88,,,Mansour Mohamed Al Mulla,Deputy Group CEO,Yes,mailto:info@adq.ae,,"November 3, 2025",GCC/MENA,"GCC, MENA, Global",United Arab Emirates,,Sovereign Wealth Fund,Strategic acquisitions & platforms - Primarily acquires large stakes in established companies (Louis Dreyfus Company 45%). Building food security portfolio through M&A. May consider greenfield JVs with strategic partners for critical sectors.,"Agriculture, Aquaculture, Food Security","Food Security, Platform Strategy, Regional Expansion",Sovereign Wealth Fund,"October 27, 2025",No,Present GCC food security angle,Strategic GCC investor - highest priority for Saudi RAS project,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B14460875%255D&trk=org-employees_cta_face-pile-cta,Hot Lead,,"Louis Dreyfus Company (45%), Al Foah",,Building portfolio,94,Global,,Active in GCC with Saudi partnerships,No,Yes,,,,Strategic Target,Growth/Buyout,To Be Contacted,,Diversified,Growing - Portfolio approach,$30-100M,,,https://www.adq.ae/
Hatch Blue,"100,000,000",,High - Innovation in aquaculture,Direct,High Priority,"2,000,000","100,000",High - Accelerator + investment fund,85,,,Carsten Krome,Managing Partner,Yes,mailto:info@hatch.blue,Blue Food Innovation Summit London,"October 30, 2025",Global,Global,United States,,Accelerator/VC,"Early-stage startups & ecosystem - Aquaculture accelerator and VC backing very early-stage companies. Seed/pre-seed focus with $500K-$5M checks. Will invest in new SPVs but ticket size too small for large projects. Better as ecosystem partner, accelerator participant, and network connector.","Aquaculture Innovation, Blue Economy","ESG/Impact First, Technology Focus",Accelerator/VC,"October 27, 2025",No,Discuss technical partnership + investment,Aquaculture accelerator and investment fund,https://linkedin.com/company/hatch-blue,Warm Lead,,,,Extensive - 100+ portfolio companies,96,Global,,,No,Open to explore,,,,Blue Food Innovation Summit,Seed/Pre-seed,Initial Contact Made,"RAS, Technology, Feed",Aquaculture,Very High - Accelerator for aquaculture tech,$500K-5M,,"Technology, Feed, Genetics, IoT",https://www.hatch.blue/
Mubadala,"302,000,000,000",Indirect,"High - Sovereign wealth, sustainability",,Highest Priority,"5,000,000,000","200,000,000","High - Large tickets, strategic",85,,,Khaldoon Khalifa Al Mubarak,Managing Director & Group CEO,Yes,mailto:contact@mubadala.ae,,"November 3, 2025",GCC/MENA,"Global, GCC, MENA",United Arab Emirates,,Sovereign Wealth Fund,Diversified platform investments - Sovereign wealth fund with diverse portfolio. Invests in both established platforms and new infrastructure projects. Open to greenfield projects in strategic sectors aligned with UAE priorities. Typically takes significant stakes.,"Agriculture, Aquaculture, Food Security",,Sovereign Wealth Fund,"October 27, 2025",No,Connect through sustainability mandate,Strategic GCC investor - highest priority for Saudi RAS project,https://www.linkedin.com/company/mubadala/,,+971 2 2345000,,,Limited direct investment,93,Global,,,No,Open to explore,,,,Strategic Target,Growth,To Be Contacted,,Diversified,Low - Needs technical partners,$50M+,,,https://www.mubadala.com/us/
Manulife Investment Management Timberland & Agriculture,,,"High - ESG focus, sustainable agriculture mandate",Indirect,Investment,,,"High - Large ticket capacity, seeks strategic partners",0,,,,,No,,Global AgInvesting Asia,"October 30, 2025",Asia,,United States,,,Timberland & agriculture platforms - Large institutional asset manager focused on timberland and agricultural real assets. Primarily acquires and manages existing farmland and forestry operations. Limited direct aquaculture experience. May consider large-scale aquaculture platforms with proven operations. $25-100M tickets.,"Agriculture, Aquaculture, Food Systems",,Bank/Investment Fund,,No,Schedule meeting at GAI Europe 2025,Global AgInvesting Asia participant,https://br.linkedin.com/company/manulife-investment-management-timberland-agriculture?trk=public_profile_experience-item_profile-section-card_image-click,,,,,"Limited direct aquaculture, strong in sustainable assets",95,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,"Medium - Strong in agriculture, potential for aquaculture",$25-100M,,,https://www.manulifeim.com/timberland-agriculture/global/en
Manulife Investment Management,,,"High - ESG focus, sustainable agriculture mandate",,Seeking Investment,,,"High - Large ticket capacity, seeks strategic partners",0,Martin Powis,,,,No,,GAI Europe 2025,"October 30, 2025","Global - North America, Asia-Pacific, Europe. Major timberland and agriculture investor across multiple continents",,Canada,,,Timberland & agriculture platforms - Large institutional asset manager focused on timberland and agricultural real assets. Primarily acquires and manages existing farmland and forestry operations. Limited direct aquaculture experience. May consider large-scale aquaculture platforms with proven operations. $25-100M tickets.,,,Investment Fund,,No,Schedule meeting at GAI Europe 2025,Company Manulife.,https://ca.linkedin.com/company/manulife-investment-management,,,,"Head of Distribution, UK & Ireland","Limited direct aquaculture, strong in sustainable assets",95,,,,No,,,,,GAI Europe 2025,,Initial Contact,,,"Medium - Strong in agriculture, potential for aquaculture",$25-100M,,,https://www.manulifeim.com/us/en
"Manulife Investment Management, Timberland and Agriculture",,,"High - ESG focus, sustainable agriculture mandate",,Other Participants,,,"High - Large ticket capacity, seeks strategic partners",0,Brent McGowan,,,,Yes,,GAI Europe 2025,"October 30, 2025","North America, Global",,Canada (Toronto),,,Timberland & agriculture platforms - Large institutional asset manager focused on timberland and agricultural real assets. Primarily acquires and manages existing farmland and forestry operations. Limited direct aquaculture experience. May consider large-scale aquaculture platforms with proven operations. $25-100M tickets.,Agriculture,Platform Strategy,Investment Fund,,No,Schedule meeting at GAI Europe 2025,,,Cold Prospect,,,"Senior Managing Director, Global Head of Agriculture Investments","Limited direct aquaculture, strong in sustainable assets",95,,,,No,,,,,GAI Europe 2025,,Initial Contact,"Farmland, Forestry operations","Timberland, Agricultural Real Assets","Medium - Strong in agriculture, potential for aquaculture",$25-100M,,,https://www.manulifeim.com
Manulife Investment Management Timberland and Agriculture,,,"High - ESG focus, sustainable agriculture mandate",,Other Participants,,,"High - Large ticket capacity, seeks strategic partners",0,Eric Cooperström,,,,No,,GAI Europe 2025,"October 30, 2025","Global - North America (Canada/US primary), Australia, New Zealand, Latin America, Asia-Pacific agriculture and timberland investments",,Canada (Toronto),,,Timberland & agriculture platforms - Large institutional asset manager focused on timberland and agricultural real assets. Primarily acquires and manages existing farmland and forestry operations. Limited direct aquaculture experience. May consider large-scale aquaculture platforms with proven operations. $25-100M tickets.,,,Investment Fund,,No,Schedule meeting at GAI Europe 2025,,,,,,"Managing Director, Impact Investing and Natural Climate Solutions","Limited direct aquaculture, strong in sustainable assets",95,,,,No,,,,,GAI Europe 2025,,Initial Contact,,,"Medium - Strong in agriculture, potential for aquaculture",$25-100M,,,https://www.manulifeim.com
